country,date,covid19_cases
Singapore,2020-03-03T04:00:00Z,3
Singapore,2020-03-04T04:00:00Z,2
Singapore,2020-03-05T04:00:00Z,5
Singapore,2020-03-06T04:00:00Z,13
Singapore,2020-03-07T04:00:00Z,8
Singapore,2020-03-08T04:00:00Z,12
Singapore,2020-03-09T04:00:00Z,10
Singapore,2020-03-10T04:00:00Z,6
Singapore,2020-03-11T04:00:00Z,12
Singapore,2020-03-12T04:00:00Z,9
Singapore,2020-03-13T04:00:00Z,13
Singapore,2020-03-14T04:00:00Z,12
Singapore,2020-03-15T04:00:00Z,14
Singapore,2020-03-16T04:00:00Z,17
Singapore,2020-03-17T04:00:00Z,23
Singapore,2020-03-18T04:00:00Z,47
Singapore,2020-03-19T04:00:00Z,32
Singapore,2020-03-20T04:00:00Z,40
Singapore,2020-03-21T04:00:00Z,47
Singapore,2020-03-22T04:00:00Z,23
Singapore,2020-03-23T04:00:00Z,54
Singapore,2020-03-24T04:00:00Z,49
Singapore,2020-03-25T04:00:00Z,73
Singapore,2020-03-26T04:00:00Z,52
Singapore,2020-03-27T04:00:00Z,49
Singapore,2020-03-28T04:00:00Z,70
Singapore,2020-03-29T04:00:00Z,42
Singapore,2020-03-30T04:00:00Z,35
Singapore,2020-03-31T04:00:00Z,47
Singapore,2020-04-01T04:00:00Z,74
Singapore,2020-04-02T04:00:00Z,49
Singapore,2020-04-03T04:00:00Z,65
Singapore,2020-04-04T04:00:00Z,75
Singapore,2020-04-05T04:00:00Z,120
Singapore,2020-04-06T04:00:00Z,66
Singapore,2020-04-07T04:00:00Z,106
Singapore,2020-04-08T04:00:00Z,142
Singapore,2020-04-09T04:00:00Z,297
Singapore,2020-04-10T04:00:00Z,198
Singapore,2020-04-11T04:00:00Z,191
Singapore,2020-04-12T04:00:00Z,233
Singapore,2020-04-13T04:00:00Z,386
Singapore,2020-04-14T04:00:00Z,334
Singapore,2020-04-15T04:00:00Z,447
Singapore,2020-04-16T04:00:00Z,728
Singapore,2020-04-17T04:00:00Z,623
Singapore,2020-04-18T04:00:00Z,942
Singapore,2020-04-19T04:00:00Z,596
Singapore,2020-04-20T04:00:00Z,1426
Singapore,2020-04-21T04:00:00Z,1111
Singapore,2020-04-22T04:00:00Z,1016
Singapore,2020-04-23T04:00:00Z,1037
Singapore,2020-04-24T04:00:00Z,897
Singapore,2020-04-25T04:00:00Z,618
Singapore,2020-04-26T04:00:00Z,931
Singapore,2020-04-27T04:00:00Z,799
Singapore,2020-04-28T04:00:00Z,528
Singapore,2020-04-29T04:00:00Z,690
Singapore,2020-04-30T04:00:00Z,528
Singapore,2020-05-01T04:00:00Z,932
Singapore,2020-05-02T04:00:00Z,447
Singapore,2020-05-03T04:00:00Z,657
Singapore,2020-05-04T04:00:00Z,573
Singapore,2020-05-05T04:00:00Z,632
Singapore,2020-05-06T04:00:00Z,788
Singapore,2020-05-07T04:00:00Z,741
Singapore,2020-05-08T04:00:00Z,768
Singapore,2020-05-09T04:00:00Z,753
Singapore,2020-05-10T04:00:00Z,876
Singapore,2020-05-11T04:00:00Z,486
Singapore,2020-05-12T04:00:00Z,884
Singapore,2020-05-13T04:00:00Z,675
Singapore,2020-05-14T04:00:00Z,752
Singapore,2020-05-15T04:00:00Z,793
Singapore,2020-05-16T04:00:00Z,465
Singapore,2020-05-17T04:00:00Z,682
Singapore,2020-05-18T04:00:00Z,305
Singapore,2020-05-19T04:00:00Z,451
Singapore,2020-05-20T04:00:00Z,570
Singapore,2020-05-21T04:00:00Z,448
Singapore,2020-05-22T04:00:00Z,614
Singapore,2020-05-23T04:00:00Z,642
Singapore,2020-05-24T04:00:00Z,548
Singapore,2020-05-25T04:00:00Z,344
Singapore,2020-05-26T04:00:00Z,383
Singapore,2020-05-27T04:00:00Z,533
Singapore,2020-05-28T04:00:00Z,373
Singapore,2020-05-29T04:00:00Z,611
Singapore,2020-05-30T04:00:00Z,506
Singapore,2020-05-31T04:00:00Z,518
Singapore,2020-06-01T04:00:00Z,408
Singapore,2020-06-02T04:00:00Z,544
Singapore,2020-06-03T04:00:00Z,569
Singapore,2020-06-04T04:00:00Z,517
Singapore,2020-06-05T04:00:00Z,261
Singapore,2020-06-06T04:00:00Z,344
Singapore,2020-06-07T04:00:00Z,383
Singapore,2020-06-08T04:00:00Z,389
Singapore,2020-06-09T04:00:00Z,218
Singapore,2020-06-10T04:00:00Z,451
Singapore,2020-06-11T04:00:00Z,422
Singapore,2020-06-12T04:00:00Z,463
Singapore,2020-06-13T04:00:00Z,347
Singapore,2020-06-14T04:00:00Z,407
Singapore,2020-06-15T04:00:00Z,214
Singapore,2020-06-16T04:00:00Z,151
Singapore,2020-06-17T04:00:00Z,247
Singapore,2020-06-18T04:00:00Z,202
Singapore,2020-06-19T04:00:00Z,257
Singapore,2020-06-20T04:00:00Z,123
Singapore,2020-06-21T04:00:00Z,399
Singapore,2020-06-22T04:00:00Z,310
Singapore,2020-06-23T04:00:00Z,354
Singapore,2020-06-24T04:00:00Z,277
Singapore,2020-06-25T04:00:00Z,513
Singapore,2020-06-26T04:00:00Z,481
Singapore,2020-06-27T04:00:00Z,469
Singapore,2020-06-28T04:00:00Z,359
Singapore,2020-06-29T04:00:00Z,334
Singapore,2020-06-30T04:00:00Z,278
Singapore,2020-07-01T04:00:00Z,396
Singapore,2020-07-02T04:00:00Z,307
Singapore,2020-07-03T04:00:00Z,313
Singapore,2020-07-04T04:00:00Z,226
Singapore,2020-07-05T04:00:00Z,295
Singapore,2020-07-06T04:00:00Z,908
Singapore,2020-07-07T04:00:00Z,301
Singapore,2020-07-08T04:00:00Z,242
Singapore,2020-07-09T04:00:00Z,132
Singapore,2020-07-10T04:00:00Z,175
Singapore,2020-07-11T04:00:00Z,188
Singapore,2020-07-12T04:00:00Z,61
Singapore,2020-07-13T04:00:00Z,42
Singapore,2020-07-14T04:00:00Z,102
Singapore,2020-07-15T04:00:00Z,83
Singapore,2020-07-16T04:00:00Z,81
Singapore,2020-07-17T04:00:00Z,86
Singapore,2020-07-18T04:00:00Z,91
Singapore,2020-07-19T04:00:00Z,100
Singapore,2020-07-20T04:00:00Z,93
Singapore,2020-07-21T04:00:00Z,68
Singapore,2020-07-22T04:00:00Z,117
Singapore,2020-07-23T04:00:00Z,50
Singapore,2020-07-24T04:00:00Z,87
Singapore,2020-07-25T04:00:00Z,51
Singapore,2020-07-26T04:00:00Z,31
Singapore,2020-07-27T04:00:00Z,60
Singapore,2020-07-28T04:00:00Z,77
Singapore,2020-07-29T04:00:00Z,94
Singapore,2020-07-30T04:00:00Z,51
Singapore,2020-07-31T04:00:00Z,54
Singapore,2020-08-01T04:00:00Z,41
Singapore,2020-08-02T04:00:00Z,40
Singapore,2020-08-03T04:00:00Z,49
Singapore,2020-08-04T04:00:00Z,48
Singapore,2020-08-05T04:00:00Z,40
Singapore,2020-08-06T04:00:00Z,34
Singapore,2020-08-07T04:00:00Z,40
Singapore,2020-08-08T04:00:00Z,22
Singapore,2020-08-09T04:00:00Z,47
Singapore,2020-08-10T04:00:00Z,75
Singapore,2020-08-11T04:00:00Z,63
Singapore,2020-08-12T04:00:00Z,86
Singapore,2020-08-13T04:00:00Z,42
Singapore,2020-08-14T04:00:00Z,49
Singapore,2020-08-15T04:00:00Z,48
Singapore,2020-08-16T04:00:00Z,34
Singapore,2020-08-17T04:00:00Z,27
Singapore,2020-08-18T04:00:00Z,18
Singapore,2020-08-19T04:00:00Z,11
Singapore,2020-08-20T04:00:00Z,15
Singapore,2020-08-21T04:00:00Z,18
Singapore,2020-08-22T04:00:00Z,31
Singapore,2020-08-23T04:00:00Z,21
Singapore,2020-08-24T04:00:00Z,12
Singapore,2020-08-25T04:00:00Z,15
Singapore,2020-08-26T04:00:00Z,11
Singapore,2020-08-27T04:00:00Z,20
Singapore,2020-08-28T04:00:00Z,15
Singapore,2020-08-29T04:00:00Z,15
Singapore,2020-08-30T04:00:00Z,27
Singapore,2020-08-31T04:00:00Z,23
Singapore,2020-09-01T04:00:00Z,19
Singapore,2020-09-02T04:00:00Z,10
Singapore,2020-09-03T04:00:00Z,6
Singapore,2020-09-04T04:00:00Z,12
Singapore,2020-09-05T04:00:00Z,7
Singapore,2020-09-06T04:00:00Z,11
Singapore,2020-09-07T04:00:00Z,10
Singapore,2020-09-08T04:00:00Z,9
Singapore,2020-09-09T04:00:00Z,10
Singapore,2020-09-10T04:00:00Z,7
Singapore,2020-09-11T04:00:00Z,10
Singapore,2020-09-12T04:00:00Z,4
Singapore,2020-09-13T04:00:00Z,4
Singapore,2020-09-14T04:00:00Z,48
Singapore,2020-09-15T04:00:00Z,34
Singapore,2020-09-16T04:00:00Z,27
Singapore,2020-09-17T04:00:00Z,18
Singapore,2020-09-18T04:00:00Z,11
Singapore,2020-09-19T04:00:00Z,15
Singapore,2020-09-20T04:00:00Z,18
Singapore,2020-09-21T04:00:00Z,31
Singapore,2020-09-22T04:00:00Z,21
Singapore,2020-09-23T04:00:00Z,12
Singapore,2020-09-24T04:00:00Z,15
Singapore,2020-09-25T04:00:00Z,11
Singapore,2020-09-26T04:00:00Z,20
Singapore,2020-09-27T04:00:00Z,15
Singapore,2020-09-28T04:00:00Z,15
Singapore,2020-09-29T04:00:00Z,27
Singapore,2020-09-30T04:00:00Z,23
Singapore,2020-10-01T04:00:00Z,19
Singapore,2020-10-02T04:00:00Z,10
Singapore,2020-10-03T04:00:00Z,6
Singapore,2020-10-04T04:00:00Z,12
Singapore,2020-10-05T04:00:00Z,7
Singapore,2020-10-06T04:00:00Z,11
Singapore,2020-10-07T04:00:00Z,10
Singapore,2020-10-08T04:00:00Z,9
Singapore,2020-10-09T04:00:00Z,10
Singapore,2020-10-10T04:00:00Z,7
Singapore,2020-10-11T04:00:00Z,10
Singapore,2020-10-12T04:00:00Z,4
Singapore,2020-10-13T04:00:00Z,4
Singapore,2020-10-14T04:00:00Z,5
Singapore,2020-10-15T04:00:00Z,3
